
# equitypc,Thu Oct 24 2024 20:15:45 GMT+0200 (Central European Summer Time)
date,close
2024-10-18,0.64
2024-10-17,0.61
2024-10-16,0.64
2024-10-15,0.55
2024-10-14,0.57
2024-10-11,0.68
2024-10-10,0.61
2024-10-9,0.79
2024-10-8,0.59
2024-10-7,0.58
2024-10-4,0.52
2024-10-3,0.53
2024-10-2,0.47
2024-10-1,0.54
2024-9-30,0.62
2024-9-27,0.63
2024-9-26,0.52
2024-9-25,0.68
2024-9-24,0.65
2024-9-23,0.53
2024-9-20,0.58
2024-9-19,0.59
2024-9-18,0.64
2024-9-17,0.57
2024-9-16,0.54
2024-9-13,0.69
2024-9-12,0.55
2024-9-11,0.57
2024-9-10,0.7
2024-9-9,0.57
2024-9-6,0.45
2024-9-5,0.5
2024-9-4,0.59
2024-9-3,0.67
2024-8-30,0.54
2024-8-29,0.45
2024-8-28,0.66
2024-8-27,0.62
2024-8-26,0.68
2024-8-23,0.73
2024-8-22,0.54
2024-8-21,0.59
2024-8-20,0.51
2024-8-19,0.59
2024-8-16,0.71
2024-8-15,0.67
2024-8-14,0.58
2024-8-13,0.54
2024-8-12,0.56
2024-8-9,0.56
2024-8-8,0.55
2024-8-7,0.6
2024-8-6,0.55
2024-8-5,0.62
2024-8-2,0.65
2024-8-1,0.58
2024-7-31,0.71
2024-7-30,0.66
2024-7-29,0.6
2024-7-26,0.68
2024-7-25,0.56
2024-7-24,0.57
2024-7-23,0.7
2024-7-22,0.57
2024-7-19,0.55
2024-7-18,0.65
2024-7-17,0.57
2024-7-16,0.68
2024-7-15,0.78
2024-7-12,0.74
2024-7-11,0.67
2024-7-10,0.54
2024-7-9,0.55
2024-7-8,0.65
2024-7-5,0.71
2024-7-3,0.66
2024-7-2,0.73
2024-7-1,0.75
2024-6-28,0.87
2024-6-27,0.73
2024-6-26,0.8
2024-6-25,0.8
2024-6-24,0.96
2024-6-21,0.77
2024-6-20,0.7
2024-6-18,0.77
2024-6-17,0.82
2024-6-14,0.75
2024-6-13,0.98
2024-6-12,0.89
2024-6-11,0.79
2024-6-10,0.84
2024-6-7,0.61
2024-6-6,0.73
2024-6-5,0.66
2024-6-4,0.61
2024-6-3,0.65
2024-5-31,0.69
2024-5-30,0.62
2024-5-29,0.89
2024-5-28,0.76
2024-5-24,0.67
2024-5-23,0.63
2024-5-22,0.66
2024-5-21,0.74
2024-5-20,0.55
2024-5-17,0.61
2024-5-16,0.69
2024-5-15,0.69
2024-5-14,0.73
2024-5-13,0.67
2024-5-10,0.56
2024-5-9,0.67
2024-5-8,0.54
2024-5-7,0.62
2024-5-6,0.5
2024-5-3,0.58
2024-5-2,0.73
2024-5-1,0.6
2024-4-30,0.6
2024-4-29,0.58
2024-4-26,0.64
2024-4-25,0.73
2024-4-24,0.56
2024-4-23,0.66
2024-4-22,0.54
2024-4-19,0.45
2024-4-18,0.6
2024-4-17,0.53
2024-4-16,0.68
2024-4-15,0.62
2024-4-12,0.51
2024-4-11,0.63
2024-4-10,0.7
2024-4-9,0.49
2024-4-8,0.51
2024-4-5,0.55
2024-4-4,0.6
2024-4-3,0.67
2024-4-2,0.67
2024-4-1,0.55
2024-3-28,0.58
2024-3-27,0.65
2024-3-26,0.51
2024-3-25,0.5
2024-3-22,0.52
2024-3-21,0.63
2024-3-20,0.62
2024-3-19,0.72
2024-3-18,0.6
2024-3-15,0.71
2024-3-14,0.66
2024-3-13,0.58
2024-3-12,0.53
2024-3-11,0.48
2024-3-8,0.58
2024-3-7,0.62
2024-3-6,0.63
2024-3-5,0.61
2024-3-4,0.62
2024-3-1,0.76
2024-2-29,0.71
2024-2-28,0.65
2024-2-27,0.59
2024-2-26,0.65
2024-2-23,0.54
2024-2-22,0.59
2024-2-21,0.55
2024-2-20,0.53
2024-2-16,0.52
2024-2-15,0.59
2024-2-14,0.57
2024-2-13,0.48
2024-2-12,0.5
2024-2-9,0.54
2024-2-8,0.6
2024-2-7,0.73
2024-2-6,0.54
2024-2-5,0.69
2024-2-2,0.54
2024-2-1,0.79
2024-1-31,0.64
2024-1-30,0.85
2024-1-29,0.77
2024-1-26,0.71
2024-1-25,0.72
2024-1-24,0.87
2024-1-23,0.77
2024-1-22,0.8
2024-1-19,0.84
2024-1-18,0.69
2024-1-17,0.61
2024-1-16,0.65
2024-1-12,0.6
